attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,classification
47,35,284922,54045,20490,9630,20490,8403,11186,4473,0
48,50,115126,33497,4630,13950,4630,5471,3810,3478,0
30,50,76688,135031,15507,28374,15507,6829,14573,6041,0
38,60,941649,34161,11784,24564,11784,8083,11486,5205,0
34,53,614572,101502,12892,9787,12892,7533,9228,7212,0
24,56,926415,548506,208977,124616,208977,37606,25187,42327,0
27,60,321162,204412,76069,17956,76069,19378,17350,10531,0
29,53,1034998,43419,7251,15423,7251,9448,10951,4900,0
41,56,994654,27803,1898,11188,1898,7921,5210,5570,0
54,47,1168368,59616,10433,6425,10433,16251,15486,9582,0
64,50,1983400,197578,194232,23495,194232,78649,33141,29782,0
57,53,59458,12640,3502,6615,3502,1521,652,316,0
51,53,451614,217468,54555,28142,54555,28895,12905,5988,0
35,47,483482,257978,17426,14835,17426,8392,4278,1686,0
38,34,81915,65381,2871,19241,2871,24569,12044,3135,0
37,27,555298,81709,14219,56107,14219,8275,9674,10801,0
38,43,51349,31664,53380,7380,53380,11009,5323,1865,0
44,56,1283419,218333,54616,44173,54616,19746,5625,10322,0
29,77,622064,14664,14730,6626,14730,1685,1741,339,0
37,74,128825,110984,35739,2796,35739,16667,8222,4754,0
40,61,865626,65847,18434,12240,18434,15986,10131,8546,0
41,70,81994,13409,15478,2639,15478,2402,2398,1399,0
34,61,1243904,714345,124262,29976,124262,35984,7402,4437,0
21,51,575817,328476,23912,24333,23912,17884,3378,7893,0
27,47,584576,42358,21591,39538,21591,15903,12567,5803,0
30,29,788766,71633,2508,7028,2508,6364,6216,5626,0
37,40,691198,22728,11018,4566,11018,2724,1915,1519,0
40,56,1093728,73966,39169,15658,39169,9360,4458,2389,0
